sample,version,label,final_verdict,final_is_malicious,final_is_flagged,dyn_verdict,dyn_is_malicious,static_verdict,static_is_malicious,invisible_unicode,decided_by
DavidAnson.vscode-markdownlint,0.61.2,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
EditorConfig.EditorConfig,0.18.2,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
GitHub.github-vscode-theme,6.3.5,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
Gruntfuggly.todo-tree,0.0.226,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
PKief.material-icon-theme,5.35.0,0,MALICIOUS,1,1,BENIGN,0,MALICIOUS,1,0,static
TabNine.tabnine-vscode,3.335.0,0,MALICIOUS,1,1,SUSPICIOUS,0,MALICIOUS,1,0,static
aaron-bond.better-comments,3.0.2,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
alefragnani.Bookmarks,14.1.1,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
alefragnani.project-manager,13.1.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
christian-kohler.npm-intellisense,1.4.5,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
christian-kohler.path-intellisense,2.10.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
dbaeumer.vscode-eslint,3.0.29,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
donjayamanne.githistory,0.6.20,0,SUSPICIOUS,0,1,BENIGN,0,SUSPICIOUS,0,18,static
dracula-theme.theme-dracula,2.25.1,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
eamodio.gitlens,2026.6.200604,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
esbenp.prettier-vscode,12.4.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
formulahendry.auto-close-tag,0.5.15,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
formulahendry.auto-rename-tag,0.1.10,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
formulahendry.code-runner,0.12.2,0,MALICIOUS,1,1,BENIGN,0,MALICIOUS,1,0,static
golang.go,0.55.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
hediet.vscode-drawio,1.9.260618014,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
humao.rest-client,0.25.1,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
johnpapa.vscode-peacock,4.2.3,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
mechatroner.rainbow-csv,3.24.1,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
mhutchie.git-graph,1.30.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
mikestead.dotenv,1.0.1,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
ms-azuretools.vscode-docker,2.0.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
ms-python.python,2026.5.2026061001,0,SUSPICIOUS,0,1,BENIGN,0,SUSPICIOUS,0,240,static
ms-vscode.cpptools,1.32.2,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
naumovs.color-highlight,2.8.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
